1PersonHousehold,2PersonHousehold,3PersonHousehold,4PersonHousehold,5PersonHousehold,Zipcode,TotalAffordableUnits,NonHispanicWhitePercentage,AfricanAmericanPercentage,HispanicPercentage,AsianPercentage,OtherPercentage,TotalPopulation,TotalHousingUnits,AffordableHousingRate
36120,41280,46440,51600,55740,78759,24,78.3,1.3,9.3,9.3,2.0,16463,8408,0.3
36882,39636,47408,52675,56896,78758,530,37.0,10.3,39.7,11.0,2.3,61296,27080,2.0
32524,33156,41808,46440,50178,78757,96,68.5,3.5,24.0,2.5,1.7,19380,10305,0.9
45180,51607,58072,64500,69697,78756,60,79.5,2.0,13.0,3.5,2.0,13332,7728,0.8
36120,41280,46440,51600,55740,78754,901,31.0,18.7,33.7,13.7,3.3,11583,4945,18.2
36126,37948,46445,51600,55745,78753,934,19.4,11.8,62.0,5.0,2.2,43821,17780,5.3
41302,44325,53091,58971,63720,78752,243,35.5,9.0,48.2,6.5,1.5,18240,8071,3.0
48200,55050,61950,68800,74350,78751,43,70.2,3.2,15.8,8.0,2.8,17335,9988,0.4
30100,24400,38700,43000,46450,78750,1,73.0,2.5,11.0,11.0,2.5,33447,14056,0.0
33110,32840,42570,47300,51095,78749,52,71.0,2.0,16.0,9.0,2.0,10163,4114,1.3
31312,33778,40254,44720,48314,78748,244,56.8,4.8,32.0,4.5,2.5,55176,23709,1.0
36120,41280,46440,51600,55740,78747,461,33.5,9.5,53.0,3.0,2.0,14660,5524,8.3
34215,32730,43985,48863,52792,78745,1236,46.2,3.8,46.6,1.8,2.0,30535,14238,8.7
29103,26588,37415,41566,44906,78744,269,14.3,8.2,75.5,1.2,1.5,46586,14564,1.8
37984,40323,48830,54246,58607,78741,1384,22.2,10.0,62.5,3.8,1.8,44849,20498,6.8
33110,32840,42570,47300,51095,78735,218,73.3,1.7,14.7,8.0,2.0,36930,16684,1.3
36120,41280,46440,51600,55740,78730,120,77.0,3.0,11.5,5.5,3.0,14771,7231,1.7
36120,41280,46440,51600,55740,78724,264,12.0,31.3,56.0,0.7,1.0,13761,3848,6.9
33541,33331,43123,47914,51759,78723,1592,34.8,25.0,35.2,3.2,2.0,26653,11576,13.8
37261,38198,47900,53212,57491,78722,170,64.0,12.0,18.0,3.0,3.0,5302,2809,6.1
39965,44752,51376,57072,61662,78721,474,13.0,30.3,54.3,1.0,1.3,14446,5447,8.7
36120,41280,46440,51600,55740,78717,128,59.0,4.0,14.0,21.0,3.0,14785,6108,2.1
43870,49736,56390,62633,67679,78705,891,59.0,2.7,25.0,10.7,2.7,36896,15799,5.6
36372,38358,46758,51944,56120,78704,1430,62.0,3.5,30.0,2.0,2.4,45478,25788,5.5
30100,24400,38700,43000,46450,78703,1,85.0,1.0,7.8,4.5,1.7,18902,9782,0.0
35586,37715,45750,50828,54911,78702,1106,26.8,17.3,53.3,1.0,1.8,21814,9196,12.0
44580,48920,57300,63640,68770,78701,208,71.0,7.0,14.0,6.0,2.0,7635,5670,3.7
48200,55050,61950,68800,74350,78617,216,12.0,9.0,77.0,0.0,1.0,3520,1101,19.6
